unique_id,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,row_id,cluster_id,confidence_score
INV-37790200016,2021-06-24,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1082000,Imported Cordials & Liqueurs,130,DISARONNO INTERNATIONAL,64136,Disaronno Amaretto,12,750,14.51,21.77,12,261.24,9,2.37,INV-37790200016,368,0.81
INV-33619100153,2021-01-20,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,50,25.8,38.7,4,154.8,0.2,0.05,INV-33619100153,0,0.81
INV-38548000019,2021-07-21,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1081200,Cream Liqueurs,300,McCormick Distilling Co.,65204,Tequila Rose Liqueur Mini,6,50,4.3,6.45,2,12.9,0.1,0.02,INV-38548000019,255,0.81
INV-33893000031,2021-01-29,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 Collins Road NE,Cedar Rapids,52402,POINT (-91.630677 42.027805),57,LINN,1062200,White Rum,35,BACARDI USA INC,43125,Bacardi Superior PET,12,750,8.26,12.39,12,148.68,9,2.37,INV-33893000031,466,0.81
INV-35995800105,2021-04-21,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1062500,Flavored Rum,370,PERNOD RICARD USA,42703,Malibu Pineapple,12,750,7.49,11.24,2,22.48,1.5,0.39,INV-35995800105,0,0.81
INV-33815500098,2021-01-27,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1012100,Canadian Whiskies,259,Heaven Hill Brands,11788,Black Velvet,6,1750,10.45,15.68,36,564.48,63,16.64,INV-33815500098,0,0.81
INV-42495400001,2021-12-01,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658111 42.010962),57,LINN,1042100,Imported Dry Gins,35,BACARDI USA INC,28206,Bombay Dry Gin,12,750,11,16.5,3,49.5,2.25,0.59,INV-42495400001,0,0.81
INV-43173200139,2021-12-22,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658111 42.010962),57,LINN,1051100,American Brandies,259,Heaven Hill Brands,56006,Christian Bros Peach,12,750,6,9,3,27,2.25,0.59,INV-43173200139,0,0.81
INV-43174200039,2021-12-22,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668919 42.034799),57,LINN,1062400,Spiced Rum,240,William Grant & Sons Inc,45888,Sailor Jerry Spiced Navy Rum,6,1750,19.25,28.88,6,173.28,10.5,2.77,INV-43174200039,255,0.81
INV-40101500001,2021-09-15,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1042100,Imported Dry Gins,35,BACARDI USA INC,28236,Bombay Sapphire Gin,12,750,13.5,20.25,12,243,9,2.37,INV-40101500001,0,0.81
INV-34283300014,2021-02-15,5222,Leo1  /  Cedar Rapids,"1500, 1st  Ave NE",Cedar Rapids,52402,POINT (-91.652082 41.988229),57,LINN,1032100,Imported Vodkas,35,BACARDI USA INC,34359,Grey Goose,12,200,4.67,7.01,24,168.24,4.8,1.26,INV-34283300014,601,0.81
